devicenum,locationgroup,locationgroupdevicenum,location,address,longitude,latitude,uniqueidentifier,stathingid,stadatastreamid,iotdeviceid,iotprimarythumbnail,iotsecondarythumbnail
115,Lafayette Parks and Recreation,34,Southside Regional Park,"221 La Neuville Rd.,Youngsville, LA 70592  ",,,,,,,,
116,Lafayette Parks and Recreation,35,Thomas Park,"300 Geraldine Dr.,Lafayette, LA 70503",,,,,,,,
117,Lafayette Parks and Recreation,36,Veterans Park,"200 Feu Follet Rd.,Lafayette, LA 70508   ",,,,,,,,
118,Intersections,1,PINHOOK @ SIMCOE,,-91.995072,30.226246,,,,,,
119,Intersections,2,SIMCOE @ 12TH,,-91.99984,30.229605,,,,,,
120,Intersections,3,SIMCOE @ JEFFERSON/SURREY,,-92.007809,30.230583,,,,,,
121,Intersections,4,MOSS @ SIMCOE,,-92.009086,30.230698,,,,,,
122,Intersections,5,NB THRUWAY @ SIMCOE,,-92.01309,30.231028,,,,,,
123,Intersections,6,SB THRUWAY @ SIMCOE,,-92.013766,30.231073,,,,,,
124,Intersections,7,SIMCOE @ PIERCE,,-92.018806,30.230674,,,,,,
125,Intersections,8,UNIVERSITY @ AGNES/SIMCOE,,-92.030451,30.229311,,,,,,
126,Intersections,9,LOUISIANA @ CARMEL,,-92.0023,30.234571,,,,,,
127,Intersections,10,LOUISIANA @ MUDD,,-92.002689,30.231739,,,,,,
128,Intersections,11,NB THRUWAY @ LOUISIANA,,-92.009452,30.224875,,,,,,
129,Intersections,12,SB THRUWAY @ JOHNSTON,,-92.010323,30.22456,,,,,,
130,Intersections,13,JOHNSTON @ CYPRESS/GARFIELD,,-92.014468,30.22438,,,,,,
131,Intersections,14,JOHNSTON @ VERMILION,,-92.015281,30.223125,,,,,,
132,Intersections,15,JOHNSTON @ MAIN,,-92.016019,30.22197,,,,,,
133,Intersections,16,JOHNSTON @ JEFFERSON,,-92.017208,30.220095,,,,,,
134,Intersections,17,JOHNSTON @ UNIVERSITY,,-92.019003,30.217274,,,,,,
135,Intersections,18,JOHNSTON @ ST MARY,,-92.021742,30.214487,,,,,,
136,Intersections,19,JOHNSTON @ LEWIS,,-92.025426,30.212282,,,,,,
137,Intersections,20,JOHNSTON @ ST JULIEN,,-92.026909,30.21151,,,,,,
138,Intersections,21,JOHNSTON @ COLLEGE,,-92.038364,30.207271,,,,,,
139,Intersections,22,JOHNSTON @ BERTRAND,,-92.040778,30.205814,,,,,,
140,Intersections,23,JOHNSTON @ VITAL/DOUCET,,-92.048881,30.203424,,,,,,
141,Intersections,24,COLLEGE @ PINHOOK,,-92.015356,30.201021,,,,,,
142,Intersections,25,COLLEGE @ COOLIDGE/BENDEL,,-92.019356,30.20144,,,,,,
143,Intersections,26,JOHNSTON @ ARNOULD,,-92.05302,30.201925,,,,,,
144,Intersections,27,JOHNSTON @ BRENTWOOD,,-92.057046,30.196231,,,,,,
145,Intersections,28,JOHNSTON @ GUILBEAU/CAMELLIA,,-92.058626,30.193735,,,,,,
146,Intersections,29,JOHNSTON @ LANA,,-92.063576,30.188856,,,,,,
147,Intersections,30,JOHNSTON @ RIDGE,,-92.071253,30.181366,,,,,,
148,Intersections,31,JOHNSTON @ AMBASSADOR,,-92.074486,30.178089,,,,,,
149,Intersections,32,THRUWAY @ SURREY/UNIVERSITY,,-91.99952,30.209169,,,,,,
150,Intersections,33,THRUWAY @ PINHOOK,,-92.004668,30.21769,,,,,,
151,Intersections,34,SURREY @ BLUE BLVD,,-91.995171,30.210632,,,,,,
152,Intersections,35,NB THRUWAY @ 12TH,,-92.008184,30.222501,,,,,,
153,Intersections,36,NB THRUWAY @ JEFFERSON,,-92.011668,30.229022,,,,,,
154,Intersections,37,NB THRUWAY @ 3RD,,-92.01214,30.229874,,,,,,
155,Intersections,38,NB THRUWAY @ MUDD,,-92.012778,30.232959,,,,,,
156,Intersections,39,NB THRUWAY @ WILLOW,,-92.011811,30.244646,,,,,,
157,Intersections,40,SB THRUWAY @ WILLOW,,-92.013375,30.244843,,,,,,
158,Intersections,41,SB THRUWAY @ MUDD,,-92.014062,30.233118,,,,,,
159,Intersections,42,SB THRUWAY @ 3RD,,-92.01298,30.229514,,,,,,
160,Intersections,43,SB THRUWAY @ JEFFERSON,,-92.012525,30.228667,,,,,,
161,Intersections,44,LOUISIANA @ ARDOIN DR (TARGET),,-92.992489,30.263788,,,,,,
162,Intersections,45,PINHOOK @ SURREY,,-91.998204,30.223605,,,,,,
163,Intersections,46,PINHOOK @ GENERAL MOUTON,,-92.008606,30.212457,,,,,,
164,Intersections,47,PINHOOK @ UNIVERSITY,,-92.009791,30.210532,,,,,,
165,Intersections,48,PINHOOK @ ST MARY,,-92.011829,30.207011,,,,,,
166,Intersections,49,UNIVERSITY @ TAFT,,-92.01316,30.212951,,,,,,
167,Intersections,50,UNIVERSITY @ MCKINLEY,,-92.0149,30.214241,,,,,,
168,Intersections,51,COLLEGE @ W BAYOU PKWY,,-92.026544,30.199146,,,,,,
169,Intersections,52,CONGRESS @ ST MARY,,-92.031724,30.224463,,,,,,
170,Intersections,53,CAJUNDOME @ SOUVENIR GATE,,-92.03898,30.216354,,,,,,
171,Intersections,54,CONGRESS @ FOREMAN,,-92.056521,30.207291,,,,,,
172,Intersections,55,CONGRESS @ LAFAYETTE,,-92.020796,30.226938,,,,,,
173,Intersections,56,MOSS @ PONT DES MOUTON,,-92.008121,30.273035,,,,,,
174,Intersections,57,MOSS @ ALEXANDER,,-92.005487,30.255597,,,,,,
175,Intersections,58,MOSS @ PINE,,-92.006191,30.246141,,,,,,
176,Intersections,59,MOSS @ WILLOW,,-92.006362,30.243787,,,,,,
177,Intersections,60,MOSS @ MUDD,,-92.008756,30.232478,,,,,,
178,Intersections,61,JEFFERSON @ CYPRESS,,-92.01576,30.227292,,,,,,
179,Intersections,62,JEFFERSON @ GARFIELD,,-92.01739,30.226603,,,,,,
180,Intersections,63,JEFFERSON @ CONGRESS,,-92.018336,30.225698,,,,,,
181,Intersections,64,JEFFERSON @ VERMILION,,-92.018776,30.224074,,,,,,
182,Intersections,65,UNIVERSITY @ LEE,,-92.020661,30.21856,,,,,,
183,Intersections,66,BERTRAND @ BANKS,,-92.060736,30.22712,,,,,,
184,Intersections,67,UNIVERSITY @ ST JOHN/ST LANDRY,,-92.022768,30.220144,,,,,,
185,Intersections,68,UNIVERSITY @ CONGRESS,,-92.028279,30.226078,,,,,,
186,Intersections,69,UNIVERSITY @ CAMERON,,-92.03234,30.232349,,,,,,
187,Intersections,70,UNIVERSITY @ MADELINE,,-92.03241,30.239067,,,,,,
188,Intersections,71,CAMERON @ ST JOHN,,-92.022838,30.231856,,,,,,
189,Intersections,72,CAMERON @ PIERCE,,-92.019091,30.233132,,,,,,
190,Intersections,73,CAMERON @ ST ANTOINE,,-92.024939,30.23197,,,,,,
191,Intersections,74,COLLEGE @ BERTRAND/REINHARDT,,-92.045385,30.212553,,,,,,
192,Intersections,75,ERASTE LANDRY @ N BERTRAND,,-92.052413,30.224725,,,,,,
193,Intersections,76,BERTRAND @ CONGRESS,,-92.046926,30.214905,,,,,,
194,Intersections,77,CONGRESS @ ST JOHN,,-92.02285,30.226984,,,,,,
195,Intersections,78,PINHOOK @ KALISTE SALOOM,,-92.014069,30.188609,,,,,,
196,Intersections,79,UNIVERSITY @ VERSAILLES,,-92.02728,30.224666,,,,,,
197,Intersections,80,VERMILION @ LAFAYETTE,,-92.020776,30.224071,,,,,,
198,Intersections,81,BUCHANAN @ VERMILION,,-92.019788,30.224082,,,,,,
199,Intersections,82,PINHOOK @ AUDUBON/RIVER RD,,-92.014172,30.203034,,,,,,
200,Intersections,83,SIMCOE @ ST JOHN,,-92.022867,30.230548,,,,,,
201,Intersections,84,SB THRUWAY @ TAFT,,-92.008171,30.220523,,,,,,
202,Intersections,85,NB THRUWAY @ 14TH,,-92.007313,30.22088,,,,,,
203,Intersections,86,ST MARY @ HEYMANN,,-92.013194,30.20803,,,,,,
204,Intersections,87,ST MARY @ COOLIDGE,,-92.013795,30.208483,,,,,,
205,Intersections,88,ST MARY @ TAFT,,-92.016009,30.220523,,,,,,
206,Intersections,89,ST MARY @ MCKINLEY/GIRARD PARK,,-92.0177,30.21139,,,,,,
207,Intersections,90,ST MARY @ HEBRARD,,-92.019679,30.212926,,,,,,
208,Intersections,91,ST MARY @ ST LANDRY,,-92.026315,30.217882,,,,,,
209,Intersections,92,SURREY @ 12TH,,-92.002581,30.226809,,,,,,
210,Intersections,93,VERMILION @ LEE,,-92.016567,30.224024,,,,,,
211,Intersections,94,JEFFERSON @ LAMAR,,-92.014444,30.218148,,,,,,
